ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
Gamling: Defender of the Hornburg, drawDeck,,,N/A,,,N/A,0.5396825396825397,126,High Play Rate with Average Strength
Sting: Weapon of Heritage, drawDeck,,,N/A,,,N/A,0.375,48,Redeemable
Home and Hearth, drawDeck,,,N/A,,,N/A,0.41935483870967744,31,Average
Firefoot: Mearas of the Mark, drawDeck,,,N/A,,,N/A,0.6666666666666666,12,Standard Power Picks
Bill the Pony: Dearly-loved, drawDeck,,,N/A,,,N/A,0.4117647058823529,17,Average
Rohan Stable Master, drawDeck,,,N/A,,,N/A,0.5272727272727272,110,High Play Rate with Average Strength
Rohirrim Doorwarden, drawDeck,,,N/A,,,N/A,0.504950495049505,101,High Play Rate with Average Strength
Theoden: Northman, King of Rohan, drawDeck,,,N/A,,,N/A,0.5,8,Low Play Rate with Average Strength
Aragorn: Defender of Rohan, drawDeck,,,N/A,,,N/A,0.40540540540540543,37,High Play Rate with Average Strength
Eomer: Northman, drawDeck,,,N/A,,,N/A,0.5,6,Low Play Rate with Average Strength
Eowyn: Northwoman, drawDeck,,,N/A,,,N/A,0.5,4,Low Play Rate with Average Strength
4_298*, drawDeck,,,N/A,,,N/A,1,1,Unplayed
Erkenbrand's Horn, drawDeck,,,N/A,,,N/A,0.41379310344827586,29,Average
11_234, site,,,N/A,,,N/A,0.4899328859060403,149,High Play Rate with Average Strength
15_189, site,,,N/A,,,N/A,0.5,94,High Play Rate with Average Strength
Proud and Able, drawDeck,,,N/A,,,N/A,0.4606741573033708,89,High Play Rate with Average Strength
Sharp Defense, drawDeck,,,N/A,,,N/A,0.1111111111111111,9,Trash
Belt of Erebor, drawDeck,,,N/A,,,N/A,0.5,18,Average
Great Cost, drawDeck,,,N/A,,,N/A,0.29411764705882354,17,Trash
Arod: Rohirrim Steed, drawDeck,,,N/A,,,N/A,0.4,65,High Play Rate with Average Strength
Black Land Overlord, drawDeck,,,N/A,,,N/A,0.42857142857142855,28,Average
Black Gate Sentry, drawDeck,,,N/A,,,N/A,0.40425531914893614,47,High Play Rate with Average Strength
Black Land Chieftain, drawDeck,,,N/A,,,N/A,0.5135135135135135,37,High Play Rate with Average Strength
Orkish Invader, drawDeck,,,N/A,,,N/A,0.3333333333333333,6,Redeemable
11_258, site,,,N/A,,,N/A,0.4157303370786517,89,High Play Rate with Average Strength
Loud and Strong, drawDeck,,,N/A,,,N/A,0.6666666666666666,6,Sleeper or Niche Power Picks
Wandering Hillman, drawDeck,,,N/A,,,N/A,0.7857142857142857,14,Standard Power Picks
White Hand Invader, drawDeck,,,N/A,,,N/A,0.5217391304347826,23,Average
Vengeful Wild Man, drawDeck,,,N/A,,,N/A,0.7777777777777778,9,Sleeper or Niche Power Picks
Scouting Orc, drawDeck,,,N/A,,,N/A,0.43902439024390244,41,High Play Rate with Average Strength
Veteran War Chief, drawDeck,,,N/A,,,N/A,0.5,32,High Play Rate with Average Strength
Relentless Warg, drawDeck,,,N/A,,,N/A,0.4358974358974359,78,High Play Rate with Average Strength
Nocked, drawDeck,,,N/A,,,N/A,0.56,25,Average
Rumil: Brother of Haldir, drawDeck,,,N/A,,,N/A,0.8571428571428571,7,Sleeper or Niche Power Picks
Legolas: Of the Grey Company, drawDeck,,,N/A,,,N/A,0.6666666666666666,9,Sleeper or Niche Power Picks
11_237, site,,,N/A,,,N/A,0.4603174603174603,63,High Play Rate with Average Strength
11_245, site,,,N/A,,,N/A,0.461038961038961,154,High Play Rate with Average Strength
11_255, site,,,N/A,,,N/A,0.46153846153846156,26,Average
Gandalf's Staff: Ash-Staff, drawDeck,,,N/A,,,N/A,0.44,50,High Play Rate with Average Strength
Leaflock: Finglas, drawDeck,,,N/A,,,N/A,0.75,4,Sleeper or Niche Power Picks
Quickbeam: Hastiest of All Ents, drawDeck,,,N/A,,,N/A,0.75,4,Sleeper or Niche Power Picks
Shepherd of the Trees, drawDeck,,,N/A,,,N/A,1,2,Unplayed
11_242, site,,,N/A,,,N/A,0.30985915492957744,71,Redeemable
11_261, site,,,N/A,,,N/A,0.38202247191011235,89,Redeemable
Bilbo: Aged Ring-bearer, drawDeck,,,N/A,,,N/A,0.38095238095238093,42,Redeemable
Fates Entwined, drawDeck,,,N/A,,,N/A,0.2702702702702703,37,Trash
Golden Perch Ale, drawDeck,,,N/A,,,N/A,0.3220338983050847,59,Redeemable
Get On and Get Away, drawDeck,,,N/A,,,N/A,0.35714285714285715,14,Redeemable
Little Golden Flower, drawDeck,,,N/A,,,N/A,0.3448275862068966,29,Redeemable
Scouring of the Shire, drawDeck,,,N/A,,,N/A,0.42592592592592593,54,High Play Rate with Average Strength
Pippin: Steadfast Friend, drawDeck,,,N/A,,,N/A,0.4,35,High Play Rate with Average Strength
12_187, site,,,N/A,,,N/A,0.36363636363636365,22,Redeemable
Starkhorn, site,,,N/A,,,N/A,0.19230769230769232,26,Trash
Mountain Homestead, drawDeck,,,N/A,,,N/A,0.5,4,Low Play Rate with Average Strength
Thrarin: Smith of Erebor, drawDeck,,,N/A,,,N/A,0.3684210526315789,19,Redeemable
Thorin's Harp, drawDeck,,,N/A,,,N/A,0.5,4,Low Play Rate with Average Strength
11_257, site,,,N/A,,,N/A,0.5316455696202531,79,High Play Rate with Average Strength
Not Alone, drawDeck,,,N/A,,,N/A,0.3076923076923077,13,Redeemable
Treacherous Little Toad, drawDeck,,,N/A,,,N/A,0.3333333333333333,9,Redeemable
It's My Birthday, drawDeck,,,N/A,,,N/A,,1,Unplayed
White Hand Slayer, drawDeck,,,N/A,,,N/A,,1,Unplayed
Deceit, drawDeck,,,N/A,,,N/A,0.4166666666666667,48,High Play Rate with Average Strength
Lurtz: Minion of the White Wizard, drawDeck,,,N/A,,,N/A,0.6,5,Sleeper or Niche Power Picks
Squad of Uruk-hai, drawDeck,,,N/A,,,N/A,0.5,6,Low Play Rate with Average Strength
Axe of Khazad-dum, drawDeck,,,N/A,,,N/A,0.6,5,Sleeper or Niche Power Picks
Berserker Torch, drawDeck,,,N/A,,,N/A,1,5,Sleeper or Niche Power Picks
12_144, drawDeck,,,N/A,,,N/A,0.5394736842105263,76,High Play Rate with Average Strength
Uruk Decimator, drawDeck,,,N/A,,,N/A,0.4117647058823529,17,Average
12_152, drawDeck,,,N/A,,,N/A,0.5,14,Average
Uruk Blitz, drawDeck,,,N/A,,,N/A,0.3076923076923077,13,Redeemable
Uruk Rogue, drawDeck,,,N/A,,,N/A,0.6363636363636364,11,Standard Power Picks
Covetous Uruk, drawDeck,,,N/A,,,N/A,0.5,4,Low Play Rate with Average Strength
Heavy Axe, drawDeck,,,N/A,,,N/A,0.25,12,Trash
Well-crafted Armor, drawDeck,,,N/A,,,N/A,0.5,6,Low Play Rate with Average Strength
Armor of Khazad, drawDeck,,,N/A,,,N/A,0.3548387096774194,31,Redeemable
Spear of the White Hand, drawDeck,,,N/A,,,N/A,0.5833333333333334,12,Average
Throne of Isengard, drawDeck,,,N/A,,,N/A,0.42857142857142855,49,High Play Rate with Average Strength
Ghastly Wound, drawDeck,,,N/A,,,N/A,0.5727272727272728,110,High Play Rate with Average Strength
Shagrat: Tower Captain, drawDeck,,,N/A,,,N/A,0.4864864864864865,37,High Play Rate with Average Strength
Run Until Found, drawDeck,,,N/A,,,N/A,0.4897959183673469,49,High Play Rate with Average Strength
Still Twitching, drawDeck,,,N/A,,,N/A,0.5769230769230769,26,Average
Guidance of the Istari, drawDeck,,,N/A,,,N/A,0.625,8,Sleeper or Niche Power Picks
Abandoned Mine Shaft, site,,,N/A,,,N/A,0.4732824427480916,131,High Play Rate with Average Strength
11_254, site,,,N/A,,,N/A,0.45454545454545453,99,High Play Rate with Average Strength
Sense of Obligation, drawDeck,,,N/A,,,N/A,0.35,20,Redeemable
Last Days, drawDeck,,,N/A,,,N/A,0.3333333333333333,18,Redeemable
Dunlending Trapper, drawDeck,,,N/A,,,N/A,,1,Unplayed
Bold Easterling, drawDeck,,,N/A,,,N/A,0.5,2,Unplayed
Courageous Easterling, drawDeck,,,N/A,,,N/A,0.4,10,Low Play Rate with Average Strength
Stampeding Savage, drawDeck,,,N/A,,,N/A,0.45454545454545453,11,Average
Doors of Durin, site,,,N/A,,,N/A,0.6,45,Meta Dominating Power Picks
11_252, site,,,N/A,,,N/A,0.4,65,High Play Rate with Average Strength
Farmer Maggot: Hobbit of the Marish, drawDeck,,,N/A,,,N/A,0.4915254237288136,59,High Play Rate with Average Strength
Ferocious Haradrim, drawDeck,,,N/A,,,N/A,0.6,15,Standard Power Picks
Grieving the Fallen, drawDeck,,,N/A,,,N/A,0.6666666666666666,6,Sleeper or Niche Power Picks
Southlinch Leaf, drawDeck,,,N/A,,,N/A,0.5,10,Low Play Rate with Average Strength
Fredegar Bolger: Fatty, drawDeck,,,N/A,,,N/A,0.43478260869565216,23,Average
Whisper in the Dark, drawDeck,,,N/A,,,N/A,0.5454545454545454,11,Average
Daddy Twofoot: Next-door Neighbor, drawDeck,,,N/A,,,N/A,0.4666666666666667,30,Average
No Visitors, drawDeck,,,N/A,,,N/A,0.7,10,Sleeper or Niche Power Picks
Riddermark Javelin, drawDeck,,,N/A,,,N/A,0.38095238095238093,42,Redeemable
Coif, drawDeck,,,N/A,,,N/A,0.4864864864864865,37,High Play Rate with Average Strength
Gathering Strength, drawDeck,,,N/A,,,N/A,0.4666666666666667,15,Average
13_99, drawDeck,,,N/A,,,N/A,0.36363636363636365,11,Redeemable
Swarming Hillman, drawDeck,,,N/A,,,N/A,,2,Unplayed
In the Wild Men's Wake, drawDeck,,,N/A,,,N/A,,4,Trash
Pandemonium, drawDeck,,,N/A,,,N/A,,4,Trash
Stampeding Shepherd, drawDeck,,,N/A,,,N/A,,1,Unplayed
