ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
Fires and Foul Fumes, drawDeck,,,N/A,,3,Unplayed,,,N/A
Scaffolding, drawDeck,,,N/A,0.2,5,Unplayed,,2,Unplayed
The Dark Lord Advances, drawDeck,,,N/A,,1,Unplayed,0.4,5,Low Play Rate with Average Strength
Down From the Hills, drawDeck,,,N/A,0.2222222222222222,18,Trash,0.75,4,Sleeper or Niche Power Picks
9_48*, drawDeck,,,N/A,0.7142857142857143,7,Unplayed,,,N/A
0_18*, drawDeck,,,N/A,0.5,2,Unplayed,,,N/A
Ancient Blade, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,,2,Unplayed
Hillman Rabble, drawDeck,,,N/A,,2,Unplayed,0.75,4,Sleeper or Niche Power Picks
Seeking New Foes, drawDeck,,,N/A,1,1,Unplayed,,,N/A
Aldor: Soldier of Edoras, drawDeck,,,N/A,,3,Unplayed,0.35714285714285715,14,Redeemable
8_125, drawDeck,,,N/A,0.7,40,Sleeper or Niche Power Picks,,,N/A
Targon, drawDeck,,,N/A,0.16666666666666666,6,Unplayed,,,N/A
Isengard Rider, drawDeck,,,N/A,0.64,25,Sleeper or Niche Power Picks,,,N/A
Isengard Scimitar, drawDeck,,,N/A,0.42857142857142855,7,Unplayed,,,N/A
Warg, drawDeck,,,N/A,0.5,16,Low Play Rate with Average Strength,,,N/A
Arrows Thick in the Air, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,,,N/A
Curse Them, drawDeck,,,N/A,0.5,2,Unplayed,0.3333333333333333,6,Redeemable
Isengard Builder, drawDeck,,,N/A,0.5,2,Unplayed,,,N/A
Household Guard, drawDeck,,,N/A,1,1,Unplayed,,,N/A
I Will Go, drawDeck,,,N/A,0.6666666666666666,3,Unplayed,0.5833333333333334,12,Low Play Rate with Average Strength
Southron Conqueror, drawDeck,,,N/A,0.45454545454545453,22,Low Play Rate with Average Strength,0.1111111111111111,9,Trash
Hides , drawDeck,,,N/A,0.75,56,Standard Power Picks,1,2,Unplayed
4_25*, drawDeck,,,N/A,0.8181818181818182,33,Sleeper or Niche Power Picks,,,N/A
4_31*, drawDeck,,,N/A,0.8125,32,Sleeper or Niche Power Picks,,,N/A
4_36*, drawDeck,,,N/A,0.8125,32,Sleeper or Niche Power Picks,,,N/A
4_5*, drawDeck,,,N/A,0.8181818181818182,33,Sleeper or Niche Power Picks,,,N/A
5_17*, drawDeck,,,N/A,0.8125,32,Sleeper or Niche Power Picks,,,N/A
6_2*, drawDeck,,,N/A,0.8181818181818182,33,Sleeper or Niche Power Picks,,,N/A
Fereveldir: Son of Thandronen, drawDeck,,,N/A,,1,Unplayed,,1,Unplayed
Smeagol: Old Noser, drawDeck,,,N/A,0.375,8,Unplayed,,,N/A
Easterling Sergeant, drawDeck,,,N/A,,6,Unplayed,0.4,5,Low Play Rate with Average Strength
Must Be a Dream, drawDeck,,,N/A,,1,Unplayed,,,N/A
Beyond All Darkness, drawDeck,,,N/A,0.2727272727272727,11,Trash,,5,Trash
Take Cover, drawDeck,,,N/A,,1,Unplayed,,,N/A
Isildur: Bearer of Heirlooms, drawDeck,,,N/A,,1,Unplayed,,,N/A
Eomer: Skilled Tactician, drawDeck,,,N/A,0.5,2,Unplayed,1,1,Unplayed
Morning Came, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,,,N/A
Riding Armor, drawDeck,,,N/A,0.5,2,Unplayed,,,N/A
Faramir: Stout Captain, drawDeck,,,N/A,,2,Unplayed,,,N/A
